Name	source	expectedSex
Luna	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Annie	https://www.familie.de/schwangerschaft/vornamen/maedchennamen/	f
Alina	https://www.vorname.com/maedchennamen.html	f
Alma	https://www.vorname.com/maedchennamen.html	f
Alva	https://www.vorname.com/maedchennamen.html	f
Amalia	https://www.vorname.com/maedchennamen.html	f
Amelia	https://www.vorname.com/maedchennamen.html	f
Amelie	https://www.vorname.com/maedchennamen.html	f
Anja	https://www.vorname.com/maedchennamen.html	f
Anna	https://www.vorname.com/maedchennamen.html	f
Antonia	https://www.vorname.com/maedchennamen.html	f
Aurelia	https://www.vorname.com/maedchennamen.html	f
Aurora	https://www.vorname.com/maedchennamen.html	f
Ava	https://www.vorname.com/maedchennamen.html	f
Barbara	https://www.vorname.com/maedchennamen.html	f
Bärbel	https://www.vorname.com/maedchennamen.html	f
Bea	https://www.vorname.com/maedchennamen.html	f
Beatrice	https://www.vorname.com/maedchennamen.html	f
Bella	https://www.vorname.com/maedchennamen.html	f
Benita	https://www.vorname.com/maedchennamen.html	f
Berfin	https://www.vorname.com/maedchennamen.html	f
Bettina	https://www.vorname.com/maedchennamen.html	f
Bianca	https://www.vorname.com/maedchennamen.html	f
Birgit	https://www.vorname.com/maedchennamen.html	f
Bonnie	https://www.vorname.com/maedchennamen.html	f
Brigitte	https://www.vorname.com/maedchennamen.html	f
Carla	https://www.vorname.com/maedchennamen.html	f
Carlotta	https://www.vorname.com/maedchennamen.html	f
Carolin	https://www.vorname.com/maedchennamen.html	f
Cataleya	https://www.vorname.com/maedchennamen.html	f
Cecilia	https://www.vorname.com/maedchennamen.html	f
Celine	https://www.vorname.com/maedchennamen.html	f
Charlotte	https://www.vorname.com/maedchennamen.html	f
Chiara	https://www.vorname.com/maedchennamen.html	f
Christina	https://www.vorname.com/maedchennamen.html	f
Clara	https://www.vorname.com/maedchennamen.html	f
Claudia	https://www.vorname.com/maedchennamen.html	f
Cleo	https://www.vorname.com/maedchennamen.html	f
Dagmar	https://www.vorname.com/maedchennamen.html	f
Dalia	https://www.vorname.com/maedchennamen.html	f
Dana	https://www.vorname.com/maedchennamen.html	f
Daniela	https://www.vorname.com/maedchennamen.html	f
Daria	https://www.vorname.com/maedchennamen.html	f
Davina	https://www.vorname.com/maedchennamen.html	f
Deborah	https://www.vorname.com/maedchennamen.html	f
Delia	https://www.vorname.com/maedchennamen.html	f
Denise	https://www.vorname.com/maedchennamen.html	f
Diana	https://www.vorname.com/maedchennamen.html	f
Dilara	https://www.vorname.com/maedchennamen.html	f
Doris	https://www.vorname.com/maedchennamen.html	f
Eldrid	https://www.vorname.com/maedchennamen.html	f
Elea	https://www.vorname.com/maedchennamen.html	f
Elena	https://www.vorname.com/maedchennamen.html	f
Eleonora	https://www.vorname.com/maedchennamen.html	f
Elin	https://www.vorname.com/maedchennamen.html	f
Elina	https://www.vorname.com/maedchennamen.html	f
Elisa	https://www.vorname.com/maedchennamen.html	f
Elisabeth	https://www.vorname.com/maedchennamen.html	f
Ella	https://www.vorname.com/maedchennamen.html	f
Emilia	https://www.vorname.com/maedchennamen.html	f
Emily	https://www.vorname.com/maedchennamen.html	f
Emma	https://www.vorname.com/maedchennamen.html	f
Fabienne	https://www.vorname.com/maedchennamen.html	f
Felicia	https://www.vorname.com/maedchennamen.html	f
Felicitas	https://www.vorname.com/maedchennamen.html	f
Feline	https://www.vorname.com/maedchennamen.html	f
Fenja	https://www.vorname.com/maedchennamen.html	f
Finja	https://www.vorname.com/maedchennamen.html	f
Fiona	https://www.vorname.com/maedchennamen.html	f
Flora	https://www.vorname.com/maedchennamen.html	f
Franziska	https://www.vorname.com/maedchennamen.html	f
Freya	https://www.vorname.com/maedchennamen.html	f
Frida	https://www.vorname.com/maedchennamen.html	f
Frieda	https://www.vorname.com/maedchennamen.html	f
Genevieve	https://www.vorname.com/maedchennamen.html	f
Gerda	https://www.vorname.com/maedchennamen.html	f
Gesa	https://www.vorname.com/maedchennamen.html	f
Gianna	https://www.vorname.com/maedchennamen.html	f
Gina	https://www.vorname.com/maedchennamen.html	f
Gisela	https://www.vorname.com/maedchennamen.html	f
Giulia	https://www.vorname.com/maedchennamen.html	f
Gloria	https://www.vorname.com/maedchennamen.html	f
Grace	https://www.vorname.com/maedchennamen.html	f
Greta	https://www.vorname.com/maedchennamen.html	f
Gudrun	https://www.vorname.com/maedchennamen.html	f
Gwendolyn	https://www.vorname.com/maedchennamen.html	f
Hailey	https://www.vorname.com/maedchennamen.html	f
Hanna	https://www.vorname.com/maedchennamen.html	f
Hannah	https://www.vorname.com/maedchennamen.html	f
Hedda	https://www.vorname.com/maedchennamen.html	f
Heike	https://www.vorname.com/maedchennamen.html	f
Helen	https://www.vorname.com/maedchennamen.html	f
Helena	https://www.vorname.com/maedchennamen.html	f
Helene	https://www.vorname.com/maedchennamen.html	f
Helga	https://www.vorname.com/maedchennamen.html	f
Henriette	https://www.vorname.com/maedchennamen.html	f
Hermine	https://www.vorname.com/maedchennamen.html	f
Holly	https://www.vorname.com/maedchennamen.html	f
Ida	https://www.vorname.com/maedchennamen.html	f
Ilayda	https://www.vorname.com/maedchennamen.html	f
Ilvy	https://www.vorname.com/maedchennamen.html	f
Imani	https://www.vorname.com/maedchennamen.html	f
Ina	https://www.vorname.com/maedchennamen.html	f
Ines	https://www.vorname.com/maedchennamen.html	f
Irina	https://www.vorname.com/maedchennamen.html	f
Iris	https://www.vorname.com/maedchennamen.html	f
Isabel	https://www.vorname.com/maedchennamen.html	f
Isabell	https://www.vorname.com/maedchennamen.html	f
Isabella	https://www.vorname.com/maedchennamen.html	f
Ivy	https://www.vorname.com/maedchennamen.html	f
Jana	https://www.vorname.com/maedchennamen.html	f
Jara	https://www.vorname.com/maedchennamen.html	f
Jasmin	https://www.vorname.com/maedchennamen.html	f
Jennifer	https://www.vorname.com/maedchennamen.html	f
Jessica	https://www.vorname.com/maedchennamen.html	f
Jetty	https://www.vorname.com/maedchennamen.html	f
Johanna	https://www.vorname.com/maedchennamen.html	f
Jonna	https://www.vorname.com/maedchennamen.html	f
Josephine	https://www.vorname.com/maedchennamen.html	f
Jule	https://www.vorname.com/maedchennamen.html	f
Julia	https://www.vorname.com/maedchennamen.html	f
Juna	https://www.vorname.com/maedchennamen.html	f
Kaja	https://www.vorname.com/maedchennamen.html	f
Karin	https://www.vorname.com/maedchennamen.html	f
Katharina	https://www.vorname.com/maedchennamen.html	f
Kathrin	https://www.vorname.com/maedchennamen.html	f
Katja	https://www.vorname.com/maedchennamen.html	f
Katrin	https://www.vorname.com/maedchennamen.html	f
Kerstin	https://www.vorname.com/maedchennamen.html	f
Kezia	https://www.vorname.com/maedchennamen.html	f
Kiana	https://www.vorname.com/maedchennamen.html	f
Kiara	https://www.vorname.com/maedchennamen.html	f
Kira	https://www.vorname.com/maedchennamen.html	f
Klara	https://www.vorname.com/maedchennamen.html	f
Lara	https://www.vorname.com/maedchennamen.html	f
Laura	https://www.vorname.com/maedchennamen.html	f
Lea	https://www.vorname.com/maedchennamen.html	f
Lena	https://www.vorname.com/maedchennamen.html	f
Leni	https://www.vorname.com/maedchennamen.html	f
Leonie	https://www.vorname.com/maedchennamen.html	f
Lia	https://www.vorname.com/maedchennamen.html	f
Liara	https://www.vorname.com/maedchennamen.html	f
Lina	https://www.vorname.com/maedchennamen.html	f
Lisa	https://www.vorname.com/maedchennamen.html	f
Livia	https://www.vorname.com/maedchennamen.html	f
Luisa	https://www.vorname.com/maedchennamen.html	f
Malea	https://www.vorname.com/maedchennamen.html	f
Malia	https://www.vorname.com/maedchennamen.html	f
Mara	https://www.vorname.com/maedchennamen.html	f
Maria	https://www.vorname.com/maedchennamen.html	f
Marie	https://www.vorname.com/maedchennamen.html	f
Marlene	https://www.vorname.com/maedchennamen.html	f
Mathilda	https://www.vorname.com/maedchennamen.html	f
Melina	https://www.vorname.com/maedchennamen.html	f
Mia	https://www.vorname.com/maedchennamen.html	f
Mila	https://www.vorname.com/maedchennamen.html	f
Mina	https://www.vorname.com/maedchennamen.html	f
Mira	https://www.vorname.com/maedchennamen.html	f
Nadine	https://www.vorname.com/maedchennamen.html	f
Naima	https://www.vorname.com/maedchennamen.html	f
Nala	https://www.vorname.com/maedchennamen.html	f
Naomi	https://www.vorname.com/maedchennamen.html	f
Nayla	https://www.vorname.com/maedchennamen.html	f
Nela	https://www.vorname.com/maedchennamen.html	f
Nele	https://www.vorname.com/maedchennamen.html	f
Nicole	https://www.vorname.com/maedchennamen.html	f
Nina	https://www.vorname.com/maedchennamen.html	f
Noemi	https://www.vorname.com/maedchennamen.html	f
Nora	https://www.vorname.com/maedchennamen.html	f
Nuria	https://www.vorname.com/maedchennamen.html	f
Oda	https://www.vorname.com/maedchennamen.html	f
Odilia	https://www.vorname.com/maedchennamen.html	f
Olga	https://www.vorname.com/maedchennamen.html	f
Olivia	https://www.vorname.com/maedchennamen.html	f
Ophelia	https://www.vorname.com/maedchennamen.html	f
Rahel	https://www.vorname.com/maedchennamen.html	f
Ramona	https://www.vorname.com/maedchennamen.html	f
Raya	https://www.vorname.com/maedchennamen.html	f
Rebecca	https://www.vorname.com/maedchennamen.html	f
Rita	https://www.vorname.com/maedchennamen.html	f
Romy	https://www.vorname.com/maedchennamen.html	f
Ronja	https://www.vorname.com/maedchennamen.html	f
Rosa	https://www.vorname.com/maedchennamen.html	f
Rosalie	https://www.vorname.com/maedchennamen.html	f
