"";"Name";"Rating_Mean";"Rating_SD";"Rating_Median";"Name_Class"
"49";"Jakob";1,05714285714286;0,338061701891407;1;"m"
"115";"Georg";1,08571428571429;0,373491363112091;1;"m"
"53";"Julius";1,08571428571429;0,373491363112091;1;"m"
"91";"Moritz";1,11428571428571;0,322802851090676;1;"m"
"93";"Paul";1,11428571428571;0,322802851090676;1;"m"
"61";"Tobias";1,11428571428571;0,322802851090676;1;"m"
"11";"Maximilian";1,11428571428571;0,403763804821623;1;"m"
"129";"Thomas";1,11428571428571;0,403763804821623;1;"m"
"42";"Johannes";1,14285714285714;0,355035801248363;1;"m"
"84";"Hugo";1,14285714285714;0,429969707746757;1;"m"
"13";"Lukas";1,14285714285714;0,429969707746757;1;"m"
"133";"Peter";1,14285714285714;0,429969707746757;1;"m"
"54";"Matteo";1,17142857142857;0,45281565433046;1;"m"
"34";"Oliver";1,17142857142857;0,45281565433046;1;"m"
"112";"Felix";1,2;0,472788971703768;1;"m"
"29";"Patrick";1,2;0,531368931324057;1;"m"
"73";"Anton";1,2;0,584103133520302;1;"m"
"126";"Oskar";1,22857142857143;0,546954901125811;1;"m"
"44";"Sebastian";1,22857142857143;0,645605702181351;1;"m"
"105";"Erik";1,25714285714286;0,560611910581388;1;"m"
"130";"Benedikt";1,25714285714286;0,657215925787898;1;"m"
"132";"Konstantin";1,25714285714286;0,657215925787898;1;"m"
"68";"Fabian";1,25714285714286;0,700540007794707;1;"m"
"86";"Benjamin";1,25714285714286;0,918530064282926;1;"m"
"120";"Hans";1,25714285714286;1,03874520294375;1;"m"
"47";"Philipp";1,25714285714286;1,0666841735258;1;"m"
"103";"Daniel";1,28571428571429;0,621735170188031;1;"m"
"19";"Michael";1,31428571428571;0,676123403782813;1;"m"
"21";"Timo";1,34285714285714;0,764770520862194;1;"m"
"100";"Karl";1,34285714285714;1,1099246700156;1;"m"
"127";"Adrian";1,37142857142857;0,731063459292424;1;"m"
"146";"Benno";1,4;0,694516336148021;1;"m"
"79";"Julian";1,4;1,1682062670406;1;"m"
"59";"Raphael";1,45714285714286;0,885931120110267;1;"m"
"22";"Florian";1,45714285714286;1,44187086683886;1;"m"
"88";"Finn";1,48571428571429;0,817867692860655;1;"m"
"57";"Hannes";1,51428571428571;0,950895199626262;1;"m"
"108";"Clemens";1,51428571428571;1,06747168501995;1;"m"
"12";"Simon";1,51428571428571;1,22165337751341;1;"m"
"27";"Tim";1,51428571428571;1,46270154109419;1;"m"
"38";"Jan";1,54285714285714;0,980481788619822;1;"m"
"25";"Valentin";1,54285714285714;1,17179744141105;1;"m"
"5";"Linus";1,57142857142857;0,884032015846721;1;"m"
"23";"Emil";1,62857142857143;1,23873071388119;1;"m"
"81";"Kilian";1,65714285714286;0,968408553272027;1;"m"
"64";"Mats";1,65714285714286;1,02735689264926;1;"m"
"114";"Damian";1,74285714285714;0,918530064282926;1;"m"
"137";"Marlon";1,74285714285714;1,09390980225162;1;"m"
"97";"Noah";1,85714285714286;1,11521185386078;1;"m"
"71";"Gabriel";1,85714285714286;1,37504774554232;1;"m"
"7";"Dylan";1,97142857142857;1,22440175753939;1;"m"
"106";"Kai";2,14285714285714;1,45809822034322;1;"m"
"85";"Chris";2,17142857142857;1,2944613752835;2;"m"
"43";"Liam";2,17142857142857;1,48493838821909;2;"m"
"123";"Leo";2,34285714285714;1,28206765772778;2;"m"
"24";"Robin";2,37142857142857;1,41599506242314;2;"m"
"107";"Milan";2,42857142857143;1,26690252853435;2;"m"
"66";"Noel";2,74285714285714;1,46212691858485;3;"m"
"70";"Gerrit";2,88571428571429;1,7618744792613;3;"m"
"109";"Ulli";2,91428571428571;1,29186205262993;3;"m"
"74";"Lovis";2,94285714285714;1,30480688548281;3;"m"
